name,target,equipment,Level,gym,home,goal,bodyPart,type,sets,cluster
Dumbbell Crunch - Gethin Variation,abs,dumbbell,Intermediate,1,1,Gain Muscle,waist,weight,3,5
Single-arm dumbbell crunch,abs,dumbbell,Intermediate,1,1,Gain Muscle,waist,weight,3,5
HM Alternating Dumbbell Plank Row,abs,dumbbell,Intermediate,1,1,Gain Muscle,waist,weight,4,5
Dumbbell straight-legged hip raise,abs,dumbbell,Intermediate,1,1,Gain Muscle,waist,weight,3,5
Seated leg tuck with dumbbell,abs,dumbbell,Intermediate,1,1,Gain Muscle,waist,weight,5,5
Dumbbell V-sit cross jab-,abs,dumbbell,Intermediate,1,1,Gain Muscle,waist,weight,4,5
30 Hanging Leg Raise With Dumbbell,abs,dumbbell,Intermediate,1,1,Gain Muscle,waist,weight,5,5
Dumbbell Get-Up Sit-Up,abs,dumbbell,Advanced,1,1,Gain Muscle,waist,weight,4,47
Holman Right Side Plank with Left Triceps Press,abs,dumbbell,Intermediate,1,1,Gain Muscle,waist,weight,3,5
Holman Left Side Plank with Right Triceps Press,abs,dumbbell,Intermediate,1,1,Gain Muscle,waist,weight,5,5
Holman Boat with Feet Push-Out and Overhead Press,abs,dumbbell,Intermediate,1,1,Gain Muscle,waist,weight,5,5
Holman Hovering Plank Row,abs,dumbbell,Intermediate,1,1,Gain Muscle,waist,weight,4,5
Holman Weighted Seated Killer Abs to Russian Twist,abs,dumbbell,Intermediate,1,1,Gain Muscle,waist,weight,4,5
Holman Straight Plank Dumbbell Reach-Under,abs,dumbbell,Intermediate,1,1,Gain Muscle,waist,weight,4,5
Holman Straight-Arm Side Plank Overhead Press to Chest Press,abs,dumbbell,Intermediate,1,1,Gain Muscle,waist,weight,5,5
Holman Weighted Burpee to Pike,abs,dumbbell,Intermediate,1,1,Gain Muscle,waist,weight,3,5
Holman Straight-Legged Boat Chest Press,abs,dumbbell,Intermediate,1,1,Gain Muscle,waist,weight,3,5
Holman Weighted Burpee to Side Delt Raise,abs,dumbbell,Intermediate,1,1,Gain Muscle,waist,weight,3,5
Holman Heavy Double Pike,abs,dumbbell,Intermediate,1,1,Gain Muscle,waist,weight,4,5
Holman Heavy Double Split Pike,abs,dumbbell,Intermediate,1,1,Gain Muscle,waist,weight,3,5
MetaBurn Alternating Dumbbell Sit-Through,abs,dumbbell,Intermediate,1,1,Gain Muscle,waist,weight,3,5
MetaBurn Alternating Plank Row With Dumbbell Pull-Through,abs,dumbbell,Intermediate,1,1,Gain Muscle,waist,weight,4,5
MetaBurn Alternating Plank Row With Push-Up,abs,dumbbell,Intermediate,1,1,Gain Muscle,waist,weight,4,5
MetaBurn Dumbbell Russian Twist,abs,dumbbell,Intermediate,1,1,Gain Muscle,waist,weight,3,5
MetaBurn Dumbbell Toe-Touch,abs,dumbbell,Intermediate,1,1,Gain Muscle,waist,weight,3,5
MetaBurn Plank To Alternating Row,abs,dumbbell,Intermediate,1,1,Gain Muscle,waist,weight,4,5
Standing dumbbell knee crunch-,abs,dumbbell,Intermediate,1,1,Gain Muscle,waist,weight,3,5
MetaBurn Plank With Dumbbell Rotation,abs,dumbbell,Intermediate,1,1,Gain Muscle,waist,weight,5,5
FYR2 Dumbbell Crab Reach,abs,dumbbell,Intermediate,1,1,Gain Muscle,waist,weight,5,5
FYR2 Dumbbell Man-Maker,abs,dumbbell,Intermediate,1,1,Gain Muscle,waist,weight,3,5
FYR2 Dumbbell Sit-Up Reach,abs,dumbbell,Intermediate,1,1,Gain Muscle,waist,weight,3,5
FYR2 Loaded Beast Sprawl,abs,dumbbell,Intermediate,1,1,Gain Muscle,waist,weight,4,5
FYR2 Loaded to Unloaded Beast,abs,dumbbell,Intermediate,1,1,Gain Muscle,waist,weight,4,5
Lying Leg Pullover,abs,dumbbell,Intermediate,1,1,Gain Muscle,waist,weight,5,5
Landmine twist,abs,weighted,Intermediate,1,0,Gain Muscle,waist,weight,4,5
Suspended ab fall-out,abs,weighted,Intermediate,1,0,Gain Muscle,waist,weight,3,5
Decline reverse crunch,abs,weighted,Intermediate,1,0,Gain Muscle,waist,weight,5,5
Plate Twist,abs,weighted,Beginner,1,0,Gain Muscle,waist,weight,5,26
Weighted Crunches,abs,weighted,Intermediate,1,0,Gain Muscle,waist,weight,3,5
Ab Roller,abs,weighted,Intermediate,1,0,Gain Muscle,waist,weight,4,5
Otis-Up,abs,weighted,Intermediate,1,0,Gain Muscle,waist,weight,4,5
Captain's chair knee raise,abs,weighted,Intermediate,1,0,Gain Muscle,waist,weight,4,5
Sledgehammer swing,abs,weighted,Intermediate,1,0,Gain Muscle,waist,weight,5,5
Pallof press,abs,weighted,Intermediate,1,0,Gain Muscle,waist,weight,3,5
Weighted Sit-Ups - With Bands,abs,weighted,Intermediate,1,0,Gain Muscle,waist,weight,4,5
Suitcase crunch,abs,weighted,Intermediate,1,0,Gain Muscle,waist,weight,3,5
FYR Rope Jumping,abs,weighted,Intermediate,1,0,Gain Muscle,waist,weight,5,5
Barbell press sit-up,abs,weighted,Intermediate,1,0,Gain Muscle,waist,weight,3,5
Single-arm bent-over rear delt fly,abs,weighted,Intermediate,1,0,Gain Muscle,waist,weight,5,5
Captain's chair leg raise,abs,weighted,Intermediate,1,0,Gain Muscle,waist,weight,4,5
Shoulder-Elevated One-Leg Hip Thrusts,abs,weighted,Intermediate,1,0,Gain Muscle,waist,weight,5,5
Ab Twist - Gethin Variation,abs,weighted,Intermediate,1,0,Gain Muscle,waist,weight,3,5
Weighted Crunch - Gethin Variation,abs,weighted,Intermediate,1,0,Gain Muscle,waist,weight,3,5
Ab Wheel Roll-Out - Gethin Variation,abs,weighted,Intermediate,1,0,Gain Muscle,waist,weight,3,5
Bench crunch,abs,weighted,Intermediate,1,0,Gain Muscle,waist,weight,5,5
Decline plate sit-up twist,abs,weighted,Intermediate,1,0,Gain Muscle,waist,weight,4,5
Reverse ab roll-out,abs,weighted,Intermediate,1,0,Gain Muscle,waist,weight,3,5
30 Seated Twist With PVC Pipe,abs,weighted,Intermediate,1,0,Gain Muscle,waist,weight,5,5
Suspended crunch-,abs,weighted,Intermediate,1,0,Gain Muscle,waist,weight,3,5
Suspended oblique crunch,abs,weighted,Intermediate,1,0,Gain Muscle,waist,weight,4,5
Weighted sit-up,abs,weighted,Intermediate,1,0,Gain Muscle,waist,weight,5,5
30 Decline Press Sit-Up,abs,weighted,Intermediate,1,0,Gain Muscle,waist,weight,3,5
Holman Towel Reverse Plank Alternating Heel Pull-in,abs,weighted,Intermediate,1,0,Gain Muscle,waist,weight,3,5
Holman Boat with Weighted Cross Punch,abs,weighted,Intermediate,1,0,Gain Muscle,waist,weight,5,5
Holman Weighted Hook Punch,abs,weighted,Intermediate,1,0,Gain Muscle,waist,weight,4,5
Holman Weighted Traveling Punch,abs,weighted,Intermediate,1,0,Gain Muscle,waist,weight,5,5
Holman Weighted Uppercut Punch,abs,weighted,Intermediate,1,0,Gain Muscle,waist,weight,5,5
Holman Slow Weighted Double Pike,abs,weighted,Intermediate,1,0,Gain Muscle,waist,weight,3,5
Holman Plate Straight Plank Reach,abs,weighted,Intermediate,1,0,Gain Muscle,waist,weight,4,5
Holman Plate Elbow Plank Jack to Straight Plank Jack,abs,weighted,Intermediate,1,0,Gain Muscle,waist,weight,5,5
Holman Plate Hill Climber,abs,weighted,Intermediate,1,0,Gain Muscle,waist,weight,4,5
Holman Plate Reverse Plank Hill Climber,abs,weighted,Intermediate,1,0,Gain Muscle,waist,weight,5,5
Holman Plate Straight Plank Pike to Jack,abs,weighted,Intermediate,1,0,Gain Muscle,waist,weight,4,5
Holman Plate In-and-Out Push-Up,abs,weighted,Intermediate,1,0,Gain Muscle,waist,weight,4,5
Holman Plate Burpee,abs,weighted,Intermediate,1,0,Gain Muscle,waist,weight,3,5
Holman Plate Elbow Plank Reach,abs,weighted,Intermediate,1,0,Gain Muscle,waist,weight,5,5
Holman Elbow Plank to Renegade Row,abs,weighted,Intermediate,1,0,Gain Muscle,waist,weight,4,5
Holman Straight Plank Weighted Hand Hill Climber,abs,weighted,Intermediate,1,0,Gain Muscle,waist,weight,3,5
Holman Weighted Left Side Diagonal Pike,abs,weighted,Intermediate,1,0,Gain Muscle,waist,weight,5,5
Holman Weighted Right Side Diagonal Pike,abs,weighted,Intermediate,1,0,Gain Muscle,waist,weight,5,5
Holman Weighted W-Boat to Overhead Press,abs,weighted,Intermediate,1,0,Gain Muscle,waist,weight,4,5
Holman Weighted Kneeling Lift,abs,weighted,Intermediate,1,0,Gain Muscle,waist,weight,3,5
Holman Hips-Up Weighted Pull-Over,abs,weighted,Intermediate,1,0,Gain Muscle,waist,weight,4,5
Holman Weighted Cross Punch,abs,weighted,Intermediate,1,0,Gain Muscle,waist,weight,3,5
Holman Straight-Leg Boat Hover Chest Press,abs,weighted,Intermediate,1,0,Gain Muscle,waist,weight,4,5
Holman Weighted Pike,abs,weighted,Intermediate,1,0,Gain Muscle,waist,weight,4,5
Holman Feet-Elevated Wax-On Wax-Off,abs,weighted,Intermediate,1,0,Gain Muscle,waist,weight,4,5
Holman Elbow Plank to Towel Pike,abs,weighted,Intermediate,1,0,Gain Muscle,waist,weight,5,5
Holman Seated Killer Abs Overhead Press,abs,weighted,Intermediate,1,0,Gain Muscle,waist,weight,5,5
Holman Straight Plank Alternating Weighted Open,abs,weighted,Intermediate,1,0,Gain Muscle,waist,weight,5,5
Holman Weighted Killer Abs with Overhead Press,abs,weighted,Intermediate,1,0,Gain Muscle,waist,weight,5,5
Holman Weighted Split-Leg Pike,abs,weighted,Intermediate,1,0,Gain Muscle,waist,weight,3,5
Holman Towel Reverse Plank Heel Pull-in,abs,weighted,Intermediate,1,0,Gain Muscle,waist,weight,5,5
Stick Twist,abs,weighted,Intermediate,1,0,Gain Muscle,waist,weight,3,5
Roc Everest,abs,weighted,Intermediate,1,0,Gain Muscle,waist,weight,4,5
Standing cable low-to-high twist,abs,cable,Intermediate,1,0,Gain Muscle,waist,weight,4,5
Single-arm high-cable side bend,abs,cable,Intermediate,1,0,Gain Muscle,waist,weight,3,5
Kneeling cable oblique crunch,abs,cable,Intermediate,1,0,Gain Muscle,waist,weight,4,5
Kneeling cable crunch,abs,cable,Intermediate,1,0,Gain Muscle,waist,weight,5,5
Rope Crunch,abs,cable,Intermediate,1,0,Gain Muscle,waist,weight,4,5
Standing cable crunch,abs,cable,Intermediate,1,0,Gain Muscle,waist,weight,3,5
Bosu Ball Cable Crunch With Side Bends,abs,cable,Beginner,1,0,Gain Muscle,waist,weight,4,26
Standing Cable Wood Chop,abs,cable,Intermediate,1,0,Gain Muscle,waist,weight,4,5
Cable reverse crunch,abs,cable,Beginner,1,0,Gain Muscle,waist,weight,3,26
Cable Russian Twists,abs,cable,Beginner,1,0,Gain Muscle,waist,weight,3,26
Pallof press with rotation,abs,cable,Intermediate,1,0,Gain Muscle,waist,weight,5,5
Cable Seated Crunch,abs,cable,Beginner,1,0,Gain Muscle,waist,weight,5,26
Cable Judo Flip,abs,cable,Beginner,1,0,Gain Muscle,waist,weight,4,26
Exercise Ball Cable Crunch - Gethin Variation,abs,cable,Intermediate,1,0,Gain Muscle,waist,weight,4,5
Standing cable high-to-low twist,abs,cable,Intermediate,1,0,Gain Muscle,waist,weight,4,5
Bent-Over Reverse Cable Fly,abs,cable,Intermediate,1,0,Gain Muscle,waist,weight,4,5
Standing Cable Crunch - Gethin Variation,abs,cable,Intermediate,1,0,Gain Muscle,waist,weight,4,5
AM Cable Crunch,abs,cable,Intermediate,1,0,Gain Muscle,waist,weight,3,5
Tyler Holt Weighted Knee-To-Chest Crunch,abs,cable,Intermediate,1,0,Gain Muscle,waist,weight,3,5
Standing cable twist,abs,cable,Intermediate,1,0,Gain Muscle,waist,weight,4,5
30 Cable Rope Crunch,abs,cable,Intermediate,1,0,Gain Muscle,waist,weight,3,5
30 Cable Rope Oblique Crunch,abs,cable,Intermediate,1,0,Gain Muscle,waist,weight,3,5
Cable lying twist on ball,abs,cable,Intermediate,1,0,Gain Muscle,waist,weight,4,5
30 Cable Pallof Press,abs,cable,Intermediate,1,0,Gain Muscle,waist,weight,5,5
30 Cable Reverse Crunch On Ball,abs,cable,Intermediate,1,0,Gain Muscle,waist,weight,4,5
30 Cable Reverse Crunch,abs,cable,Intermediate,1,0,Gain Muscle,waist,weight,4,5
Tyler Holt Cable Torso Twist,abs,cable,Intermediate,1,0,Gain Muscle,waist,weight,3,5
Single-Arm Cable Outward-Facing Biceps Curl,abs,cable,Intermediate,1,0,Gain Muscle,waist,weight,3,5
Biceps Rope Curl,abs,cable,Intermediate,1,0,Gain Muscle,waist,weight,5,5
Kneeling Cable Crunches,abs,cable,Intermediate,1,0,Gain Muscle,waist,weight,5,5
Ab Crunch Machine,abs,Machine,Intermediate,1,0,Gain Muscle,waist,weight,3,5
Smith machine straight-legged hip raise,abs,Machine,Intermediate,1,0,Gain Muscle,waist,weight,5,5
Machine crunch,abs,Machine,Intermediate,1,0,Gain Muscle,waist,weight,4,5
AM Ab Machine,abs,Machine,Intermediate,1,0,Gain Muscle,waist,weight,3,5
Smith machine V-up,abs,Machine,Intermediate,1,0,Gain Muscle,waist,weight,5,5
Elbow plank,abs,body weight,Intermediate,1,1,Gain Muscle,waist,duration,5,5
Bottoms Up,abs,body weight,Intermediate,1,1,Gain Muscle,waist,duration,4,5
Spider crawl,abs,body weight,Intermediate,1,1,Gain Muscle,waist,duration,3,5
Cocoons,abs,body weight,Intermediate,1,1,Gain Muscle,waist,duration,5,5
Cross-Body Crunch,abs,body weight,Intermediate,1,1,Gain Muscle,waist,duration,4,5
Elbow-to-knee crunch,abs,body weight,Intermediate,1,1,Gain Muscle,waist,duration,4,5
Decline Crunch,abs,body weight,Intermediate,1,1,Gain Muscle,waist,duration,3,5
Hanging toes-to-bar,abs,body weight,Intermediate,1,1,Gain Muscle,waist,duration,4,5
Hanging Oblique Knee Raise,abs,body weight,Intermediate,1,1,Gain Muscle,waist,duration,4,5
Gorilla Chin/Crunch,abs,body weight,Beginner,1,1,Gain Muscle,waist,duration,5,26
Hanging leg raise,abs,body weight,Intermediate,1,1,Gain Muscle,waist,duration,5,5
Mountain climber,abs,body weight,Intermediate,1,1,Gain Muscle,waist,duration,3,5
Ab bicycle,abs,body weight,Intermediate,1,1,Gain Muscle,waist,duration,3,5
3/4 sit-up,abs,body weight,Intermediate,1,1,Gain Muscle,waist,duration,5,5
Reverse crunch,abs,body weight,Intermediate,1,1,Gain Muscle,waist,duration,4,5
Crunches,abs,body weight,Intermediate,1,1,Gain Muscle,waist,duration,5,5
Dead bug reach,abs,body weight,Intermediate,1,1,Gain Muscle,waist,duration,4,5
Crunch - Hands Overhead,abs,body weight,Beginner,1,1,Gain Muscle,waist,duration,4,26
V-up,abs,body weight,Intermediate,1,1,Gain Muscle,waist,duration,4,5
Stomach Vacuum,abs,body weight,Beginner,1,1,Gain Muscle,waist,duration,5,26
Russian twist,abs,body weight,Intermediate,1,1,Gain Muscle,waist,duration,3,5
Flat Bench Lying Leg Raise,abs,body weight,Intermediate,1,1,Gain Muscle,waist,duration,4,5
Knees tucked crunch,abs,body weight,Intermediate,1,1,Gain Muscle,waist,duration,4,5
Butt-Ups,abs,body weight,Beginner,1,1,Gain Muscle,waist,duration,5,26
Feet-elevated oblique crunch,abs,body weight,Intermediate,1,1,Gain Muscle,waist,duration,4,5
Bent-knee reverse crunch,abs,body weight,Intermediate,1,1,Gain Muscle,waist,duration,4,5
Alternating heel-touch,abs,body weight,Intermediate,1,1,Gain Muscle,waist,duration,4,5
Suspended Reverse Crunch,abs,body weight,Intermediate,1,1,Gain Muscle,waist,duration,5,5
Lying bench reverse crunch,abs,body weight,Intermediate,1,1,Gain Muscle,waist,duration,4,5
Sit-up,abs,body weight,Intermediate,1,1,Gain Muscle,waist,duration,4,5
Side Bridge,abs,body weight,Intermediate,1,1,Gain Muscle,waist,duration,5,5
Lying oblique crunch,abs,body weight,Intermediate,1,1,Gain Muscle,waist,duration,4,5
Janda Sit-Up,abs,body weight,Beginner,1,1,Gain Muscle,waist,duration,3,26
Leg Pull-In,abs,body weight,Beginner,1,1,Gain Muscle,waist,duration,5,26
Side Jackknife,abs,body weight,Intermediate,1,1,Gain Muscle,waist,duration,3,5
Scissor Kick,abs,body weight,Intermediate,1,1,Gain Muscle,waist,duration,5,5
Toe Touchers,abs,body weight,Intermediate,1,1,Gain Muscle,waist,duration,5,5
Lower Back Curl,abs,body weight,Intermediate,1,1,Gain Muscle,waist,duration,3,5
Exercise ball torso rotation,abs,body weight,Intermediate,1,1,Gain Muscle,waist,duration,3,5
Seated Overhead Stretch,abs,body weight,Intermediate,1,1,Gain Muscle,waist,duration,4,5
Overhead Stretch,abs,body weight,Intermediate,1,1,Gain Muscle,waist,duration,3,5
Seated Scissor Kick,abs,body weight,Intermediate,1,1,Gain Muscle,waist,duration,4,5
Partner resistance standing twist,abs,body weight,Intermediate,1,1,Gain Muscle,waist,duration,4,5
Cross Crunch,abs,body weight,Beginner,1,1,Gain Muscle,waist,duration,3,26
Full Moon,abs,body weight,Beginner,1,1,Gain Muscle,waist,duration,5,26
Hanging knee raise with manual resistance,abs,body weight,Beginner,1,1,Gain Muscle,waist,duration,3,26
Straight-Legged Hip Raise,abs,body weight,Intermediate,1,1,Gain Muscle,waist,duration,3,5
Wall mountain climber,abs,body weight,Intermediate,1,1,Gain Muscle,waist,duration,5,5
Skin The Cat To Push-Up,abs,body weight,Intermediate,1,1,Gain Muscle,waist,duration,4,5
Partner lying leg raise with lateral throw down,abs,body weight,Beginner,1,1,Gain Muscle,waist,duration,4,26
Hanging leg raise with throw down,abs,body weight,Beginner,1,1,Gain Muscle,waist,duration,5,26
Partner sit-up with high-five,abs,body weight,Beginner,1,1,Gain Muscle,waist,duration,3,26
Exercise ball knee roll-in,abs,body weight,Intermediate,1,1,Gain Muscle,waist,duration,5,5
Partner lying leg raise with throw down,abs,body weight,Beginner,1,1,Gain Muscle,waist,duration,3,26
Crab toe-touch,abs,body weight,Intermediate,1,1,Gain Muscle,waist,duration,4,5
Side kick-through,abs,body weight,Intermediate,1,1,Gain Muscle,waist,duration,3,5
Partner target sit-up,abs,body weight,Beginner,1,1,Gain Muscle,waist,duration,4,26
Suspended Crunch,abs,body weight,Beginner,1,1,Gain Muscle,waist,duration,4,26
Jump Lunge,abs,body weight,Intermediate,1,1,Gain Muscle,waist,duration,4,5
Side plank hip dip,abs,body weight,Intermediate,1,1,Gain Muscle,waist,duration,3,5
Elbow plank jack,abs,body weight,Intermediate,1,1,Gain Muscle,waist,duration,3,5
Exercise ball V-up,abs,body weight,Intermediate,1,1,Gain Muscle,waist,duration,4,5
Standing torso twist stretch,abs,body weight,Intermediate,1,1,Gain Muscle,waist,duration,3,5
Slalom jumps,abs,body weight,Intermediate,1,1,Gain Muscle,waist,duration,5,5
Bear crawl,abs,body weight,Intermediate,1,1,Gain Muscle,waist,duration,4,5
Crab single-arm reach,abs,body weight,Intermediate,1,1,Gain Muscle,waist,duration,4,5
Side lunge cross-body heel-touch,abs,body weight,Intermediate,1,1,Gain Muscle,waist,duration,5,5
Alligator Crawl,abs,body weight,Intermediate,1,1,Gain Muscle,waist,duration,3,5
Lying cross-over lower back stretch,abs,body weight,Intermediate,1,1,Gain Muscle,waist,duration,4,5
Half bird dog,abs,body weight,Intermediate,1,1,Gain Muscle,waist,duration,5,5
Shoulder tap,abs,body weight,Intermediate,1,1,Gain Muscle,waist,duration,4,5
Double crunch,abs,body weight,Intermediate,1,1,Gain Muscle,waist,duration,4,5
Flutter kick,abs,body weight,Intermediate,1,1,Gain Muscle,waist,duration,5,5
Sprawl,abs,body weight,Intermediate,1,1,Gain Muscle,waist,duration,4,5
Spider plank jack,abs,body weight,Intermediate,1,1,Gain Muscle,waist,duration,3,5
Pillar-To-Plank,abs,body weight,Intermediate,1,1,Gain Muscle,waist,duration,5,5
Alternating High Knee Raise,abs,body weight,Intermediate,1,1,Gain Muscle,waist,duration,5,5
Sumo Squat Pulse,abs,body weight,Intermediate,1,1,Gain Muscle,waist,duration,3,5
Line-Drill Foot Work,abs,body weight,Intermediate,1,1,Gain Muscle,waist,duration,5,5
Plank Fire Hydrants,abs,body weight,Intermediate,1,1,Gain Muscle,waist,duration,3,5
Banded jumping jack,abs,body weight,Intermediate,1,1,Gain Muscle,waist,duration,4,5
Shin hug,abs,body weight,Intermediate,1,1,Gain Muscle,waist,duration,3,5
FYR Bear Crawl Fire Feet,abs,body weight,Intermediate,1,1,Gain Muscle,waist,duration,5,5
Bear crawl up-down,abs,body weight,Intermediate,1,1,Gain Muscle,waist,duration,4,5
FYR Crab Kick,abs,body weight,Intermediate,1,1,Gain Muscle,waist,duration,3,5
Bear crawl hold,abs,body weight,Intermediate,1,1,Gain Muscle,waist,duration,4,5
Traveling bear crawl,abs,body weight,Intermediate,1,1,Gain Muscle,waist,duration,4,5
Single-leg V-up,abs,body weight,Intermediate,1,1,Gain Muscle,waist,duration,3,5
FYR Bear Crawl Shoulder Tap,abs,body weight,Intermediate,1,1,Gain Muscle,waist,duration,5,5
Alternating single-leg sprawl,abs,body weight,Intermediate,1,1,Gain Muscle,waist,duration,3,5
Wide mountain climber,abs,body weight,Intermediate,1,1,Gain Muscle,waist,duration,4,5
Plank leg raise,abs,body weight,Intermediate,1,1,Gain Muscle,waist,duration,5,5
Glute bridge step-out,abs,body weight,Intermediate,1,1,Gain Muscle,waist,duration,5,5
Knee up-down,abs,body weight,Intermediate,1,1,Gain Muscle,waist,duration,3,5
FYR Sprawl,abs,body weight,Intermediate,1,1,Gain Muscle,waist,duration,5,5
Reach crunch,abs,body weight,Intermediate,1,1,Gain Muscle,waist,duration,4,5
FYR Push-Up Plank Hold,abs,body weight,Intermediate,1,1,Gain Muscle,waist,duration,5,5
FYR Hollow-Body Rock,abs,body weight,Intermediate,1,1,Gain Muscle,waist,duration,5,5
V-up plus knee-to-chest combo,abs,body weight,Intermediate,1,1,Gain Muscle,waist,duration,3,5
Side plank lateral raise,abs,body weight,Intermediate,1,1,Gain Muscle,waist,duration,5,5
Superhero burpee,abs,body weight,Intermediate,1,1,Gain Muscle,waist,duration,5,5
Hollow-body abduction,abs,body weight,Intermediate,1,1,Gain Muscle,waist,duration,5,5
