goal,level,gender,Equipment Required,Day 1 Body Parts,Day 2 Body Parts,Day 3 Body Parts,Day 4 Body Parts,Day 5 Body Parts,Day 6 Body Parts,Day 7 Body Parts
Gain Muscle,Intermediate,Male & Female,"Barbell, Bodyweight, Cables, Dumbbells, Machines","chest, chest, back, back, back, chest, waist, waist, waist, -, waist, waist","upper legs, upper legs, lower legs, upper legs, lower legs, upper legs, upper legs, lower legs","back, upper arms, upper arms, upper arms, upper arms, upper arms, upper arms, upper arms, upper arms, waist, waist, waist, -, waist, waist","chest, chest, back, shoulders, shoulders, shoulders, shoulders","upper legs, upper legs, lower legs, upper legs, lower legs, upper legs, upper legs, lower legs, waist, waist, waist, -, waist, waist","chest, chest, back, back, back, chest, waist, waist, waist, -, waist, waist","upper legs, upper legs, lower legs, upper legs, lower legs, upper legs, upper legs, lower legs"
Gain Muscle,Intermediate,Male & Female,"Barbell, Bodyweight, Cables, Dumbbells, EZ Bar, Machines","chest, chest, chest, back, back, back, waist, waist","shoulders, back, shoulders, upper arms, upper arms, upper arms, upper arms, upper arms, upper arms, upper arms, upper arms","upper legs, upper legs, upper legs, upper legs, upper legs, lower legs, lower arms, upper arms, lower arms, upper arms"," chest, chest, chest, back, back, back, waist, waist","shoulders, shoulders, upper arms, upper arms, upper arms, upper arms, upper arms, upper arms, upper arms, upper arms","upper legs, upper legs, upper legs, upper legs, lower legs, upper legs, lower legs, lower arms, upper arms, lower arms, upper arms","chest, chest, chest, upper legs, lower legs, back, back, waist, waist"
Gain Muscle,Intermediate,Male,"Barbell, Bodyweight, Dumbbells","upper legs, upper legs, lower legs, upper legs, -, upper legs, lower legs, lower arms, upper arms","shoulders, chest, back, shoulders, chest, back","upper legs, lower legs, upper legs, upper legs, upper legs, lower legs, -, lower arms, upper arms","back, chest, -, back, upper arms, upper arms, back","waist, waist, waist, waist, waist, upper arms, upper arms, upper arms, upper arms, upper arms, upper arms, upper arms, upper arms","upper legs, upper legs, lower legs, upper legs, -, upper legs, lower legs, lower arms, upper arms","shoulders, chest, back, shoulders, chest, back"
Gain Muscle,Advanced,Male,"Bands, Barbell, Bodyweight, Cables, Dumbbells, Exercise Ball, Machines","back, chest, back, shoulders, back, shoulders, upper arms, upper arms, upper arms, upper arms, back","upper legs, upper legs, lower legs, upper legs, lower legs, upper legs, upper legs, lower arms, upper arms, waist, waist","back, chest, back, chest, shoulders, back, shoulders, upper arms, upper arms, upper arms, upper arms, upper arms, upper arms, waist","upper legs, lower legs, upper legs, upper legs, lower legs, upper legs, upper legs, upper legs, lower arms, upper arms, waist","back, chest, back, shoulders, back, shoulders, upper arms, upper arms, upper arms, upper arms, back","upper legs, upper legs, lower legs, upper legs, lower legs, upper legs, upper legs, lower arms, upper arms, waist, waist","back, chest, back, chest, shoulders, back, shoulders, upper arms, upper arms, upper arms, upper arms, upper arms, upper arms, waist"
 Lose Weight,Intermediate,Male & Female,"Bands, Barbell, Bodyweight, Cables, Dumbbells","chest, back, shoulders, chest, upper arms, upper arms, back, upper arms, upper arms, shoulders","upper legs, upper legs, -, upper legs, upper legs, lower legs, upper legs","upper legs, chest, back, shoulders, upper arms, upper arms, upper arms, upper arms","chest, back, shoulders, chest, upper arms, upper arms, back, upper arms, upper arms, shoulders","upper legs, upper legs, -, upper legs, upper legs, lower legs, upper legs","upper legs, chest, back, shoulders, upper arms, upper arms, upper arms, upper arms","chest, back, shoulders, chest, upper arms, upper arms, back, upper arms, upper arms, shoulders"
Gain Muscle,Intermediate,Male,"Barbell, Bodyweight, Cables, Dumbbells, Machines","upper legs, upper legs, upper legs, upper legs, upper legs, upper legs, lower legs, upper legs, lower legs, lower arms, upper arms, lower arms, upper arms, lower arms, upper arms","chest, chest, chest, chest, upper arms, upper arms, upper arms, upper arms, upper arms, upper arms","upper legs, lower legs, back, chest, back, back, shoulders, upper arms, upper arms, upper arms, upper arms, upper arms, upper arms","shoulders, shoulders, shoulders, shoulders, back, waist, waist, waist","upper legs, upper legs, upper legs, upper legs, upper legs, upper legs, lower legs, upper legs, lower legs, lower arms, upper arms, lower arms, upper arms, lower arms, upper arms","chest, chest, chest, chest, upper arms, upper arms, upper arms, upper arms, upper arms, upper arms","upper legs, lower legs, back, chest, back, back, shoulders, upper arms, upper arms, upper arms, upper arms, upper arms, upper arms"
Gain Muscle,Intermediate,Male & Female,"Bands, Barbell, Bodyweight, Cables, Dumbbells, Machines, Other","upper legs, lower legs, back, back, -, back","chest, chest, chest, chest, chest, upper arms, upper arms, upper arms, upper arms, upper arms, upper arms","upper legs, upper legs, upper legs, upper legs, lower legs, upper legs","upper arms, upper arms, upper arms, upper arms, upper arms, upper arms, upper arms, upper arms, upper arms, upper arms, -, -, upper arms, upper arms, upper arms, upper arms","shoulders, -, back, back, shoulders, shoulders, -, shoulders","waist, upper legs, lower legs, upper legs, lower legs, waist, waist","upper legs, lower legs, back, back, -, back"
 Lose Weight,Intermediate,Male & Female,"Barbell, Bodyweight, Cables, Dumbbells, EZ Bar, Machines, Other","back, chest, back, shoulders, upper arms, upper arms, upper arms, upper arms","upper legs, upper legs, upper legs, upper legs, lower legs, lower arms, upper arms","back, -, back, shoulders, upper arms, upper arms, upper arms, upper arms","upper legs, upper legs, -, upper legs, lower legs, lower arms, upper arms","upper legs, lower legs, chest, back, back, upper arms, upper arms","back, chest, back, shoulders, upper arms, upper arms, upper arms, upper arms","upper legs, upper legs, upper legs, upper legs, lower legs, lower arms, upper arms"
Gain Muscle,Intermediate,Male & Female,"Barbell, Cables, Dumbbells, Machines","chest, chest, chest, chest, upper arms, upper arms, upper arms, upper arms, -","-, back, back, -, -","upper legs, upper legs, upper legs, upper legs, upper legs, lower arms, upper arms, lower arms, upper arms","shoulders, shoulders, shoulders, shoulders, upper arms, upper arms, upper arms, upper arms, upper arms, upper arms","-, back, back, chest, back","upper legs, lower legs, upper legs, lower legs, upper legs, lower legs, upper legs, lower arms, upper arms, lower arms, upper arms","chest, chest, chest, chest, upper arms, upper arms, upper arms, upper arms, -"
 Lose Weight,Intermediate,Male & Female,"Barbell, Bodyweight, Dumbbells","back, chest, upper legs, chest, back, upper legs, shoulders, back, upper legs, lower legs, waist","upper legs, upper legs, upper legs, shoulders, chest, back, back, -","back, chest, back, chest, upper legs, shoulders, -, -, waist","back, chest, upper legs, chest, back, upper legs, shoulders, back, upper legs, lower legs, waist","upper legs, upper legs, upper legs, shoulders, chest, back, back, -","back, chest, back, chest, upper legs, shoulders, -, -, waist","back, chest, upper legs, chest, back, upper legs, shoulders, back, upper legs, lower legs, waist"
Gain Muscle,Beginner,Male & Female,"Barbell, Bodyweight, Cables, Dumbbells, EZ Bar, Machines, Other","upper legs, lower legs, back, shoulders, back, upper arms, upper arms, upper arms, upper arms, waist","upper legs, upper legs, lower legs, lower arms, upper arms, back, chest, lower arms, upper arms, waist","chest, upper legs, upper legs, lower legs, shoulders, back, upper arms, upper arms, upper arms, upper arms, waist","upper legs, lower legs, back, shoulders, back, upper arms, upper arms, upper arms, upper arms, waist","upper legs, upper legs, lower legs, lower arms, upper arms, back, chest, lower arms, upper arms, waist","chest, upper legs, upper legs, lower legs, shoulders, back, upper arms, upper arms, upper arms, upper arms, waist","upper legs, lower legs, back, shoulders, back, upper arms, upper arms, upper arms, upper arms, waist"
Gain Muscle,Intermediate,Male & Female,"Barbell, Cables, Dumbbells, Machines","upper legs, shoulders, upper legs, lower legs, shoulders, upper legs, upper legs, lower legs","chest, chest, chest, back, upper arms, upper arms, upper arms, upper arms","upper legs, -, upper legs, upper legs, lower legs, lower arms, upper arms, lower arms, upper arms","shoulders, back, back, chest, upper arms, upper arms, upper arms, upper arms","upper legs, shoulders, upper legs, lower legs, shoulders, upper legs, upper legs, lower legs","chest, chest, chest, back, upper arms, upper arms, upper arms, upper arms","upper legs, -, upper legs, upper legs, lower legs, lower arms, upper arms, lower arms, upper arms"
Gain Muscle,Intermediate,Male & Female,"Barbell, Bodyweight, Cables, Dumbbells, Machines","upper legs, upper legs, upper legs, upper legs, upper legs, upper legs, lower legs, lower arms, upper arms","chest, chest, chest, chest, shoulders, shoulders, shoulders","back, back, back, back, upper arms, upper arms, upper arms, upper arms, upper arms, upper arms, upper arms, upper arms","upper legs, lower legs, upper legs, lower legs, upper legs, upper legs, lower legs, upper legs, lower arms, upper arms","upper legs, upper legs, upper legs, upper legs, upper legs, upper legs, lower legs, lower arms, upper arms","chest, chest, chest, chest, shoulders, shoulders, shoulders","back, back, back, back, upper arms, upper arms, upper arms, upper arms, upper arms, upper arms, upper arms, upper arms"
 Lose Weight,Intermediate,Male & Female,"Barbell, Bodyweight, Cables, Dumbbells, Machines","chest, back, shoulders, back, upper arms, upper arms, upper arms, upper arms, upper arms, upper arms","upper legs, upper legs, lower legs, upper legs, upper legs, upper legs, lower legs, upper legs","back, chest, back, chest, back, shoulders, shoulders","upper legs, lower legs, upper legs, lower legs, upper legs, upper legs, upper legs, lower arms, upper arms, lower arms, upper arms","waist, waist, waist, waist, waist","chest, back, shoulders, back, upper arms, upper arms, upper arms, upper arms, upper arms, upper arms","upper legs, upper legs, lower legs, upper legs, upper legs, upper legs, lower legs, upper legs"
 Lose Weight,Intermediate,Male & Female,"Barbell, Bodyweight, Cables, Dumbbells, EZ Bar, Machines","upper legs, upper legs, lower legs, upper legs, lower legs, upper legs, upper legs, lower arms, upper arms, waist","back, chest, back, chest, shoulders, shoulders, upper arms, upper arms, upper arms, upper arms, waist","upper legs, upper legs, lower legs, upper legs, upper legs, lower arms, upper arms, lower arms, upper arms, waist","shoulders, shoulders, shoulders, back, back, back, chest, waist","waist, waist, waist, waist, waist","upper legs, lower legs, upper legs, upper legs, upper legs, back, upper arms, upper arms, upper arms, upper arms, upper arms, upper arms","waist, waist, waist, waist, waist"
Gain Muscle,Beginner,Male & Female,"Bands, Barbell, Bodyweight, Cables, Dumbbells, Machines, Medicine Ball, Other","chest, chest, -, shoulders, -, -, -","back, back, back, shoulders, upper arms, upper arms","upper legs, lower legs, -, -, upper legs, -","chest, chest, -, shoulders, -, -, -","back, back, back, shoulders, upper arms, upper arms","upper legs, lower legs, -, -, upper legs, -","chest, chest, -, shoulders, -, -, -"
Gain Muscle,Advanced,Male & Female,"Barbell, Bodyweight, Cables, Dumbbells, Machines","upper legs, upper legs, -, upper legs, upper legs, lower arms, upper arms, lower arms, upper arms, waist, waist","shoulders, shoulders, shoulders, shoulders, chest, chest, chest, chest","back, back, back, upper legs, lower legs, back, upper legs, lower legs, upper legs, lower legs","upper arms, upper arms, upper arms, upper arms, upper arms, upper arms, upper arms, upper arms, upper arms, upper arms, upper arms, upper arms, upper arms, upper arms","upper legs, upper legs, -, upper legs, upper legs, lower arms, upper arms, lower arms, upper arms, waist, waist","shoulders, shoulders, shoulders, shoulders, chest, chest, chest, chest","back, back, back, upper legs, lower legs, back, upper legs, lower legs, upper legs, lower legs"
Gain Muscle,Beginner,Male & Female,Dumbbells,"upper legs, upper legs, lower legs, back, chest, shoulders, upper arms, upper arms, upper arms, upper arms","upper legs, upper legs, lower legs, back, shoulders, chest, upper arms, upper arms, upper arms, upper arms","upper legs, upper legs, lower legs, back, chest, shoulders, upper arms, upper arms, chest","upper legs, upper legs, lower legs, back, chest, shoulders, upper arms, upper arms, upper arms, upper arms","upper legs, upper legs, lower legs, back, shoulders, chest, upper arms, upper arms, upper arms, upper arms","upper legs, upper legs, lower legs, back, chest, shoulders, upper arms, upper arms, chest","upper legs, upper legs, lower legs, back, chest, shoulders, upper arms, upper arms, upper arms, upper arms"
